DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Label,Debug_Total,Version_Combined,Linker_Sum,Export_Ratio,Stack_to_Resource
0,0,0,4,0,0,8192,8,0,3,1048576,34112,672,0,0,0,0,8,0.0,1558.0624071322436
84,121728,10,10,126576,4930,0,14,10,8,262144,16864,1024,0,0,121812,100,24,0.03894862415762737,255.75024390243902
84,19904,10,10,21312,252,18160,14,10,6,262144,16736,1040,0,0,19988,100,24,0.0118237695303336,251.81940441882804
84,97728,10,10,105792,1852,70592,14,10,7,262144,16736,1096,0,0,97812,100,24,0.017505884132220467,238.9644484958979
84,319776,10,10,374944,9208,312608,14,10,7,262144,16736,2072,0,0,319860,100,24,0.024558268546053422,126.45634346357936
84,197888,10,10,229024,112,187208,14,10,7,262144,16736,1328,0,0,197972,100,24,0.0004890295819233708,197.24905944319036
28,4240,0,4,0,0,4096,8,0,3,1048576,256,8799820,0,0,4268,0,8,0.0,0.11915878743442622
84,64704,10,10,67632,404,57648,14,10,6,262144,16736,1072,0,0,64788,100,24,0.005973415344580308,244.309412861137
28,59496,0,4,0,0,8192,48,0,3,1048576,34112,1064,0,0,59524,0,48,0.0,984.5784037558685
84,401484,10,6,418800,3784,405504,12,10,7,1048576,16736,1952,0,0,401568,60,22,0.009035317489690808,536.905273937532
84,56096,10,10,58544,108,42480,14,10,7,262144,16736,1016,0,0,56180,100,24,0.0018447348193697155,257.7620452310718
84,24608,10,10,30816,328,22680,14,10,7,262144,16736,1072,0,0,24692,100,24,0.010643476003504558,244.309412861137
0,0,0,4,0,0,8192,8,0,3,1048576,34112,1136,0,0,0,0,8,0.0,922.2304309586632
84,19744,10,10,0,0,16656,14,10,6,524288,49504,2632,0,0,19828,100,24,0.0,199.12191416635017
28,4832,6,6,0,0,4096,9,0,5,524288,33088,2632,0,0,4860,36,9,0.0,199.12191416635017
84,27328,10,10,28784,164,24848,14,10,6,262144,16736,5624,0,0,27412,100,24,0.005697411846447803,46.60337777777778
28,4688,6,6,27616,164,4096,9,0,5,262144,320,5432,0,0,4716,36,9,0.00593837129304414,48.25032210565065
56,4352,6,6,393648,111,446464,12,0,6,262144,352,1760,0,0,4408,36,12,0.0002819770912665852,148.86087450312323
84,12368,10,10,61024,286,73728,14,10,6,262144,16704,992,0,0,12452,100,24,0.004686603850880787,263.99194360523666
84,68096,10,10,72752,288,58960,14,10,7,262144,16736,992,0,0,68180,100,24,0.0039585996453754485,263.99194360523666
28,4816,6,6,72464,286,4096,9,0,4,262144,320,992,0,0,4844,36,9,0.003946732905540606,263.99194360523666
28,5536,6,6,88432,286,4096,9,0,5,262144,320,992,0,0,5564,36,9,0.0032340868227923964,263.99194360523666
28,712704,0,4,729088,148,733600,2,28,10,2097152,0,0,0,0,712732,0,30,0.00020299305023117892,2097152.0
84,59780,0,6,86016,188,61440,14,10,6,1048576,320,4736,0,0,59864,0,24,0.002185614471557948,221.35866582225037
84,87004,10,6,8360,165,98304,14,10,5,1048576,320,2880,0,0,87088,60,24,0.019734481521349122,363.9625130163138
